name,n,nnz,aver_nnz,var_nnz,ell_ratio, median,mode_element,SD_nnz,TB_size,maxregcount,mem_setting,format,energy,performance,av_pow,perf_per_watt,,mem_setting,0=Equal,1=L1,2=None,3=Shared
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,16,0,0,0.01587633,536.672,29.55377897,213571346.8,,format,0=CSR,1=ELL,2=BELL,3=SELL
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,24,0,0,0.017131881,580.6544,29.45213767,198075336.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,32,0,0,0.015321069,518.602,29.49948681,221419719.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,40,0,0,0.015325874,528.1252,29.05054644,220787126.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,48,0,0,0.015087629,522.9806,28.91630012,223994132.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,56,0,0,0.015370909,528.2432,29.14154254,220048540.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,64,0,0,0.015517131,527.4492,29.39030407,218514483.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,72,0,0,0.015570053,527.2364,29.48677624,217887474.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,128,0,0,0.015483651,524.1588,29.46901105,219298924.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,255,0,0,0.015133914,521.2304,29.08717587,223425969.2,,,min energy,min exe_time,min av. Pow,max perf/watt
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,16,0,0,0.015666493,533.791,29.31848292,216447315.4,,val,0.014430666,491.491,27.25812373,235184354.8
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,24,0,0,0.016761839,567.86,29.48248209,202329693.3,,offset,43,90,264,43
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,32,0,0,0.015112131,512.754,29.39231632,224761579.2,,TB_size,128,128,512,128
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,40,0,0,0.015203496,515.7486,29.39516653,223434875.4,,maxregcount,32,255,40,32
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,48,0,0,0.015164746,513.2426,29.50955175,223655527.4,,mem_sett,1,2,2,1
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,56,0,0,0.0152702,517.9568,29.48178578,221828641.4,,format,0,0,1,0
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,64,0,0,0.015321075,518.1198,29.53290122,221375034.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,72,0,0,0.015169111,515.131,29.40599507,223620378.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,128,0,0,0.015076807,512.8538,29.41766254,224524224.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,255,0,0,0.015058201,509.4072,29.53188715,225169034.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,16,0,0,0.015497579,524.2486,29.47216365,219237906,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,24,0,0,0.016538536,568.607,29.07423022,204901207.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,32,0,0,0.014869802,503.4206,29.42159448,228700838.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,40,0,0,0.015084085,510.7622,29.41913659,225432368,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,48,0,0,0.014974105,510.1448,29.3680114,226098114.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,56,0,0,0.014960213,511.4254,29.25877414,226373989.5,,,,,,
